Project_Name,Project_URL,Project_Hash
pipm,https://github.com/jnoortheen/pipm,a9e0f89e80addea18fd3efdc7b4f6eabd6b6988a
fooof,https://github.com/voytekresearch/fooof,7a520c4f8ac3a44f4f18dc025b5e5d40049c9f2b
schemas,https://github.com/CIMAC-CIDC/schemas,c2b011f49361e01a2816076b9436ae46d71ba0db
Verifone,https://github.com/vilkasgroup/Verifone,5509c08767a9b482cfe5a9572854cf4c73ad6c02
pysshutil,https://github.com/choppsv1/pysshutil,e3ab876ed7b76637e6f5a0870cd41ea1f3d47fdb
singlepy,https://github.com/Galbar/singlepy,fa001b8cb815a68ecd3e790a1f8a5ac5ce045daa
amphipathic,https://github.com/ecolell/amphipathic,b4d2d49e2fc9224fb7a6dc067c86dc8fa7c3505e
py_ev,https://github.com/JBielan/py_ev,0a2d48235b8ff2268254c151a179a2ece40cbd37
PySyncObj,https://github.com/bakwc/PySyncObj,792b6112cfa234716f5e0408194114f1abc8b1ad
data_partitioner,https://github.com/brahle/data_partitioner,c37bca05576648c3f69f8694951bb2ae9ea9ed21
nacos-sdk-python,https://github.com/nacos-group/nacos-sdk-python,34c0dff8b78956331788d5ffa7f11811465e05ae
pymemorydb,https://github.com/davidbetz/pymemorydb,9c8e864957d6fe754539601fd67a7b802b5ceb35
r_map,https://github.com/mentaal/r_map,56cad81c91153d81e831d6afa49b92e5117c2171
ruTS,https://github.com/SergeyShk/ruTS,af02f627d9022f0f4825d9bed4ffc97d3d329f2d
threadedprocess,https://github.com/nilp0inter/threadedprocess,0120d6e795782c9f527397490846cd214d9196e1
grimoire,https://github.com/KorfLab/grimoire,6ebfa357e966036c846c658710c136f540290615
hostopen,https://github.com/jaketreacher/hostopen,b1c8269aff13d4c2ec336cc8f366f42260c4e943
fistro,https://github.com/kingoodie/fistro,42c129d058fe017d3d1436da4350b6842f1c5535
kb_python,https://github.com/pachterlab/kb_python,3ce4d8e655da2da74a5114c680c9d2cf3a2b328c
grip,https://github.com/joeyespo/grip,27a4d6d87ea1d0ea7f7f120de55baabee3de73e3
homog,https://github.com/willsheffler/homog,5b49902ff3dea972f2c466abe7937546b50ee9f1
hotwing-core,https://github.com/jasonhamilton/hotwing-core,f4d864b1618e928bd981540b2a446bdb74023ca6
py2pack,https://github.com/openSUSE/py2pack,9c6f8eb3fd5d481aecbe4091ca0974e5a077db48
deviceidentifier-py,https://github.com/reincubate/deviceidentifier-py,e6ddf73c6ab3b26a703bca8619fc999dfeaeb5d2
words-to-regular-expression,https://github.com/radeklat/words-to-regular-expression,6be1a3846f4bc07a2264b72d1e1ee031c605bac7
beem,https://github.com/holgern/beem,f3c3bd84daccac1ee4ed45c1ada0f88f29ca3f2f
uhashring,https://github.com/ultrabug/uhashring,e45d6a7a2556e73c5a2c07f2f07ac76f8c22aca3
gamble,https://github.com/jpetrucciani/gamble,d17b25899183a4c4b25fe644024ff754132ae513
pyogt,https://github.com/claha/pyogt,4a6a43f8183bc429ac9993e6b2266e6719847899
cuckoopy,https://github.com/rajathagasthya/cuckoopy,e5fab0c4826387f99ddafb0365759cb7111cfd64
Intervallum,https://github.com/wol4aravio/Intervallum,e314ee624f09b09913475b02470103095fc076ff
helpers,https://github.com/infosmith/helpers,72c40cf1d1a46875f2956e8827a55d4232db48cb
piripherals,https://github.com/quantenschaum/piripherals,74e4807a64363e3c95a03222fa250a1073387eaf
service-manager,https://github.com/hmrc/service-manager,e0a9f2a08e139e23d8a1199a2208b4f5a355a0be
sida,https://github.com/liusida/sida,77635d2b08c87612330db8612b70ee85c0d57268
fossor,https://github.com/linkedin/fossor,d8dbdc40f2f16da601c317dfa74b83e3932c9bb3
pygsheets,https://github.com/nithinmurali/pygsheets,01b9548dd56b50fa93e4a92ab879b048ae282158
rockhound,https://github.com/fatiando/rockhound,c4d84b2628c4b0dd666ceb1b334647489fe85f17
access-modifiers,https://github.com/fniessink/access-modifiers,6fd7880b3b6761051cbe67fd91280075d2f296d2
policyd-rate-limit,https://github.com/nitmir/policyd-rate-limit,79eb4e1760fb9c0ea6e205cb6a0953be8105e0d4
levitate,https://github.com/AppliedAcousticsChalmers/levitate,f6b2b2666e82bbff0ef5664aa687bb87876467cb
dummy_file_generator,https://github.com/datahappy1/dummy_file_generator,f0a27725e1c04b4b2e0259167f10d8f76cfed9d1
http-tracer,https://github.com/danielmichaels/http-tracer,aa1f6c7944caa71efc3b77acc73069701074b29f
keplertools,https://github.com/dsavransky/keplertools,8a46aea897a7cd584c4c2afa1e5ea160f47aef6e
kindle_maker,https://github.com/jachinlin/kindle_maker,5c478bdaf3cb7d2e824f21462e72543d15c6cc95
pympesa,https://github.com/TralahM/pympesa,46839de00a868db0e674c6733d5daaf83293f588
pywebcopy,https://github.com/rajatomar788/pywebcopy,2852d1856783be3bc7e4725c5df850b15defa70d
setigen,https://github.com/bbrzycki/setigen,30acd4645896d07c660be2ba00542f64b5c64316
SSMToybox,https://github.com/jacobnzw/SSMToybox,b3a8c05fa1b0d85356ac6554009af38ff2720780
analytic_shrinkage,https://github.com/matzhaugen/analytic_shrinkage,752a0f90696b1ca27a8b84ada3616cdfc98004a9
ashpool,https://github.com/cktc/ashpool,3a35638ecff85da94952cebf7f8684ed564693bc
centrosome,https://github.com/CellProfiler/centrosome,878a4ef7c3d39dcab893ed27838c9338c5721c5b
cvbase,https://github.com/hellock/cvbase,e48d2f76aaeea6472b2175c37780f7b90ae7f1b6
darkchess,https://github.com/vishalsubbiah/darkchess,c626de547c3e58a77f25fddb86de9b07bc47ae86
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f
dockerfile_bakery,https://github.com/kujyp/dockerfile_bakery,fc531752d9fe901375636377dac884a6b750e146
event-bus,https://github.com/seanpar203/event-bus,5353d6472926a299ab4f3a8c33114a725d5b7639
freegs,https://github.com/bendudson/freegs,87bc845a8c1f4f48249c6fd930bc97b436468dd2
jgutils,https://github.com/jerodg/jgutils,6c8ed6aca37d509af8ce1b57635fad62f1c846b4
kevinarpe-rambutan3,https://github.com/kevinarpe/kevinarpe-rambutan3,5d7469912b559338dc15f5c7fb2abc91103ea0c5
langsplit,https://github.com/mindey/langsplit,d30d47bd6f73852dc716f1e79225d8d49dc39daa
layouts-python,https://github.com/hid-io/layouts-python,0b036e1f1695b16e0e6e61540ef7ecd6047a5bd1
libearth,https://github.com/earthreader/libearth,71d2f3246eb0b6a3668a64e2242616d20b1d7dcd
limix-lmm,https://github.com/limix/limix-lmm,0f0a9875e6d0ed0511db54c911992332b76baa13
nnweaver,https://github.com/gvinciguerra/nnweaver,e7a94d743f6eb118592524e30f54cda22cdc5e81
noisyopt,https://github.com/andim/noisyopt,625b874918ac5926c3bf05d869e914cbddfffe20
pybnn,https://github.com/automl/pybnn,6bd277421b83f882fa43d8dad2b7851b9682aa4b
pylabeledrf,https://github.com/dessimozlab/pylabeledrf,23e2c2b2c73d35b6c87dd332b45da8d31c0ea63f
pypfm,https://github.com/Wats0ns/pypfm,78cccd19d7dbc73e54f8ae915c8a9a36310a8950
python-matlab-functions,https://github.com/fzyukio/python-matlab-functions,2860bf48f904d546af75143c531750c8857670bc
python-timemarker,https://github.com/davidr/python-timemarker,16fc4d4f9d6b534b94005169c977ed143f4f9dc5
pyvesync,https://github.com/markperdue/pyvesync,4a43bad8a7b9d3b2e7f580f1f3739f27a00bdc2b
raincoat,https://github.com/novafloss/raincoat,ac524553805317f2200520d2548d950668352eee
travispy,https://github.com/menegazzo/travispy,54b6974c98be7cab5f8129bb49fa96e20fef31af
twsecli,https://github.com/hansliu/twsecli,b53aec2a6a2bbf660b479d6b59df63943191762c
wiki-futures,https://github.com/AndrewRPorter/wiki-futures,ae6bec3aafa7c2b881b2653eae1eb528f9b63bc7
coo,https://github.com/wilfredinni/coo,da9e75d46ed65599cd2223b029ac30c08496a80b
selenium-wire,https://github.com/wkeeling/selenium-wire,f80339bc2da0485fbba4165375c009b90efdb3c2
ftpsync,https://github.com/lpenz/ftpsync,bbf40b8ebd28762b92b70571e0d9a6e642ce3467
